Company,Company Name,Company Category,Apps Analyzed,H1 Apps,H2 Apps,Net,Change Percent,Logo URL
heytap.com,HeyTap,Business Tools,52287,466,470,4,0.0086,
zoom.com,Zoom,Business Tools,52287,119,120,1,0.0084,company-logos/zoom.com/logo_200x200.jpeg
reactnative.dev,React Native,Development Tools,52287,3702,3731,29,0.0078,company-logos/reactnative.dev/logo_200x200.png
matomo.org,Matomo,Analytics: Product,52287,132,133,1,0.0076,company-logos/matomo.org/logo_200x200.jpeg
chartboost.com,ChartBoost,Ad Networks,52287,3217,3241,24,0.0075,company-logos/chartboost.com/logo_200x200.jpeg
github.com-bumptech,Bumptech,Development Tools,52287,19515,19661,146,0.0075,company-logos/github.com-bumptech/logo_420x420.png
eclipse.org,Eclipse,Development Tools,52287,541,545,4,0.0074,company-logos/eclipse.org/logo_200x200.jpeg
unity.com,Unity,Development Tools,52287,15965,16081,116,0.0073,company-logos/unity.com/logo_200x200.jpeg
unity.com,Unity,Ad Networks,52287,15965,16081,116,0.0073,company-logos/unity.com/logo_200x200.jpeg
square.com,Square,Development Tools,52287,32742,32979,237,0.0072,company-logos/square.com/logo_200x200.jpeg
admob.com,AdMob,Ad Networks,52287,1381,1391,10,0.0072,company-logos/admob.com/logo_200x200.jpeg
square.com,Square,Business Tools,52287,32742,32979,237,0.0072,company-logos/square.com/logo_200x200.jpeg
pushwoosh.com,Pushwoosh,Ad Networks,52287,147,148,1,0.0068,company-logos/pushwoosh.com/logo_200x200.jpeg
epicgames.com,Epic Games,Development Tools,52287,162,163,1,0.0062,company-logos/epicgames.com/logo_200x200.jpeg
stripe.com,Stripe,Business Tools,52287,1122,1128,6,0.0053,company-logos/stripe.com/logo_200x200.jpeg
cas.ai,Cas,Ad Networks,52287,232,233,1,0.0043,company-logos/cas.ai/logo_200x200.jpeg
github.com-daltoniam,Starscream,Development Tools,52287,239,240,1,0.0042,company-logos/github.com-daltoniam/logo_320x320.png
adjust.com,Adjust,Analytics: Attribution,52287,6998,7026,28,0.004,company-logos/adjust.com/logo_200x200.jpeg
kotlinlang.org,Kotlin,Development Tools,52287,38028,38164,136,0.0036,company-logos/kotlinlang.org/logo_200x200.png
github.com-SDWebImage,SDWebImage,Development Tools,52287,1704,1710,6,0.0035,company-logos/github.com-SDWebImage/logo_420x420.png
facebook.com,Facebook,Development Tools,52287,28215,28293,78,0.0028,company-logos/facebook.com/logo_200x200.jpeg
facebook.com,Facebook,Ad Networks,52287,28215,28293,78,0.0028,company-logos/facebook.com/logo_200x200.jpeg
github.com-tonymillion,Reachability,Development Tools,52287,1060,1063,3,0.0028,company-logos/github.com-tonymillion/logo_460x460.jpeg
github.com-openid,OpenID,Development Tools,52287,1599,1603,4,0.0025,company-logos/github.com-openid/logo_420x420.png
github.com-nanopb,nanopb,Development Tools,52287,5311,5321,10,0.0019,company-logos/github.com-nanopb/logo_192x192.png
firebase.google.com,Firebase,Analytics: Product,52287,47265,47304,39,0.0008,company-logos/firebase.google.com/logo_200x200.png
google.com,Google,Development Tools,52287,49869,49896,27,0.0005,company-logos/google.com/logo_200x200.jpeg
google.com,Google,Ad Networks,52287,49869,49896,27,0.0005,company-logos/google.com/logo_200x200.jpeg
greenrobot.org,Greenrobot,Development Tools,52287,5927,5928,1,0.0002,company-logos/greenrobot.org/logo_200x200.jpeg
yapp.li,Yappli,Business Tools,52287,58,58,0,0,company-logos/yapp.li/logo_200x200.jpeg
yodo1.com,Yodo1,Ad Networks,52287,57,57,0,0,company-logos/yodo1.com/logo_200x200.jpeg
tutoads.tv,TutoADS,Ad Networks,52287,28,28,0,0,company-logos/tutoads.tv/logo_200x200.jpeg
snap.com,Snap Inc.,Ad Networks,52287,62,62,0,0,company-logos/snap.com/logo_200x200.jpeg
coinbase.com,Coinbase,Business Tools,52287,29,29,0,0,company-logos/coinbase.com/logo_200x200.jpeg
bitslab.io,BitLabs.ai,Ad Networks,52287,31,31,0,0,company-logos/bitslab.io/logo_200x200.jpeg
uxcam.com,UXCam,Business Tools,52287,198,198,0,0,company-logos/uxcam.com/logo_200x200.jpeg
umeng.com,Umeng,Analytics: Product,52287,261,261,0,0,company-logos/umeng.com/logo_200x200.jpeg
countly.com,Countly,Analytics: Product,52287,53,53,0,0,company-logos/countly.com/logo_200x200.jpeg
ayetstudios.com,AyeT Studios,Ad Networks,52287,35,35,0,0,company-logos/ayetstudios.com/logo_200x200.jpeg
godotengine.org,Godot,Development Tools,52287,22,22,0,0,company-logos/godotengine.org/logo_200x200.png
adswizz.com,AdsWizz,Ad Networks,52287,39,39,0,0,company-logos/adswizz.com/logo_200x200.jpeg
pubnub.com,PubNub,Business Tools,52287,149,149,0,0,company-logos/pubnub.com/logo_200x200.jpeg
logrocket.com,LogRocket,Analytics: Product,52287,58,58,0,0,company-logos/logrocket.com/logo_200x200.jpeg
iterable.com,Iterable,Business Tools,52287,162,162,0,0,company-logos/iterable.com/logo_64x64.ico
veriff.com,Veriff,Business Tools,52287,39,39,0,0,company-logos/veriff.com/logo_200x200.jpeg
kuaishou.cn,KuaiShou,Ad Networks,52287,44,44,0,0,company-logos/kuaishou.cn/logo_200x200.jpeg
yahoo.com,Yahoo!,Ad Networks,52287,25,25,0,0,company-logos/yahoo.com/logo_200x200.jpeg
miteksystems.com,Mitek,Business Tools,52287,75,75,0,0,company-logos/miteksystems.com/logo_200x200.jpeg
intercom.com,Intercom,Business Tools,52287,653,653,0,0,company-logos/intercom.com/logo_200x200.jpeg
payu.com,PayU,Business Tools,52287,134,134,0,0,company-logos/payu.com/logo_200x200.jpeg
intellij.org,JetBrains IntelliJ,Development Tools,52287,21848,21835,-13,-0.0006,
socket.io,Socket.IO,Development Tools,52287,619,618,-1,-0.0016,company-logos/socket.io/logo_200x200.jpeg
kakaocorp.com,Kakao,Business Tools,52287,1651,1648,-3,-0.0018,company-logos/kakaocorp.com/logo_200x200.jpeg
cocos.com,Cocos,Development Tools,52287,1428,1425,-3,-0.0021,company-logos/cocos.com/logo_200x200.jpeg
amazon.com,Amazon Advertisement,Ad Networks,52287,4187,4177,-10,-0.0024,company-logos/amazon.com/logo_200x200.jpeg
amazon.com,Amazon Advertisement,Development Tools,52287,4187,4177,-10,-0.0024,company-logos/amazon.com/logo_200x200.jpeg
agora.io,Agora,Business Tools,52287,785,783,-2,-0.0025,company-logos/agora.io/logo_200x200.jpeg
clevertap.com,CleverTap,Analytics: Product,52287,723,721,-2,-0.0028,company-logos/clevertap.com/logo_200x200.jpeg
github.com-AlamoFire,Alamofire,Development Tools,52287,1782,1777,-5,-0.0028,company-logos/github.com-AlamoFire/logo_200x200.png
xiaomi.com,Xiaomi,Business Tools,52287,328,327,-1,-0.003,company-logos/xiaomi.com/logo_200x200.jpeg
newrelic.com,New Relic,Development Tools,52287,556,554,-2,-0.0036,company-logos/newrelic.com/logo_200x200.jpeg
helpshift.com,HelpShift,Business Tools,52287,807,804,-3,-0.0037,company-logos/helpshift.com/logo_200x200.jpeg
airship.com,Airship,Ad Networks,52287,530,528,-2,-0.0038,company-logos/airship.com/logo_200x200.jpeg
smaato.com,Smaato,Ad Networks,52287,1799,1792,-7,-0.0039,company-logos/smaato.com/logo_200x200.jpeg
reactivex.io,ReactiveX,Development Tools,52287,9217,9173,-44,-0.0048,company-logos/reactivex.io/logo_200x200.png
github.com-vanniktech,Vanniktech,Development Tools,52287,182,181,-1,-0.0055,company-logos/github.com-vanniktech/logo_460x460.jpeg
snowplow.io,Snowplow,Analytics: Product,52287,182,181,-1,-0.0055,company-logos/snowplow.io/logo_200x200.jpeg
gameanalytics.com,GameAnalytics,Analytics: Product,52287,1229,1222,-7,-0.0057,company-logos/gameanalytics.com/logo_200x200.jpeg
mapbox.com,MapBox,Business Tools,52287,772,767,-5,-0.0065,company-logos/mapbox.com/logo_200x200.jpeg
kochava.com,Kochava,Analytics: Attribution,52287,262,260,-2,-0.0076,company-logos/kochava.com/logo_200x200.jpeg
adobe.com,Adobe,Analytics: Product,52287,389,386,-3,-0.0077,company-logos/adobe.com/logo_200x200.jpeg
webengage.com,WebEngage,Business Tools,52287,127,126,-1,-0.0079,company-logos/webengage.com/logo_200x200.jpeg
admost.com,Admost,Ad Networks,52287,127,126,-1,-0.0079,company-logos/admost.com/logo_200x200.jpeg
my.com,myTarget,Ad Networks,52287,1251,1241,-10,-0.008,
zendesk.com,Zendesk,Business Tools,52287,1005,997,-8,-0.008,company-logos/zendesk.com/logo_200x200.jpeg
ishumei.com,ShuMei Technology,Business Tools,52287,123,122,-1,-0.0081,
alchemer.com,Alchemer,Business Tools,52287,122,121,-1,-0.0082,company-logos/alchemer.com/logo_200x200.jpeg
baidu.com,Baidu,Ad Networks,52287,121,120,-1,-0.0083,company-logos/baidu.com/logo_200x200.jpeg
github.com-JakeWharton,Jake Wharton,Development Tools,52287,5145,5101,-44,-0.0086,company-logos/github.com-JakeWharton/logo_460x460.jpeg
juspay.io,JUSPAY,Business Tools,52287,229,227,-2,-0.0087,company-logos/juspay.io/logo_200x200.jpeg
branch.io,Branch,Analytics: Attribution,52287,1775,1759,-16,-0.009,company-logos/branch.io/logo_200x200.jpeg
onesignal.com,One Signal,Ad Networks,52287,3234,3203,-31,-0.0096,company-logos/onesignal.com/logo_200x200.jpeg
journeyapps.com,JourneyApps,Business Tools,52287,2362,2336,-26,-0.011,company-logos/journeyapps.com/logo_200x200.jpeg
batch.com,Batch,Business Tools,52287,270,267,-3,-0.0111,company-logos/batch.com/logo_200x200.jpeg
wortise.com,Wortise,Ad Networks,52287,89,88,-1,-0.0112,company-logos/wortise.com/logo_200x200.jpeg
odeeo.io,Odeeo,Ad Networks,52287,262,259,-3,-0.0115,company-logos/odeeo.io/logo_200x200.jpeg
appnexus.app,AppNexus,Ad Networks,52287,82,81,-1,-0.0122,company-logos/appnexus.app/logo_200x200.jpeg
github.com-Swinject,Swinject,Development Tools,52287,80,79,-1,-0.0125,company-logos/github.com-Swinject/logo_200x200.png
mux.com,Mux,Business Tools,52287,156,154,-2,-0.0128,company-logos/mux.com/logo_200x200.jpeg
mongodb.com,MongoDB,Development Tools,52287,1762,1739,-23,-0.0131,company-logos/mongodb.com/logo_420x420.png
aihelp.net,AIHelp,Business Tools,52287,337,332,-5,-0.0148,company-logos/aihelp.net/logo_200x200.jpeg
bugsnag.com,Bugsnag,Business Tools,52287,634,624,-10,-0.0158,
freshchat.com,FreshChat,Business Tools,52287,245,241,-4,-0.0163,company-logos/freshchat.com/logo_200x200.jpeg
useinsider.com,Insider,Business Tools,52287,184,181,-3,-0.0163,company-logos/useinsider.com/logo_200x200.jpeg
mono-project.com,Mono Project,Development Tools,52287,354,348,-6,-0.0169,company-logos/mono-project.com/logo_200x200.jpeg
consentmanager.net,ConsentManager,Business Tools,52287,149,146,-3,-0.0201,company-logos/consentmanager.net/logo_200x200.jpeg
taboola.com,Taboola,Ad Networks,52287,326,319,-7,-0.0215,company-logos/taboola.com/logo_200x200.jpeg
cardinalcommerce.com,Cardinal by Visa,Business Tools,52287,305,297,-8,-0.0262,
appbrain.com,AppBrain,Ad Networks,52287,38,37,-1,-0.0263,company-logos/appbrain.com/logo_200x200.jpeg
tappx.com,Tappx,Ad Networks,52287,108,105,-3,-0.0278,company-logos/tappx.com/logo_200x200.jpeg
optimizely.com,Optimizely,Business Tools,52287,108,105,-3,-0.0278,company-logos/optimizely.com/logo_200x200.jpeg
appsamurai.com,Appsamurai,Ad Networks,52287,103,100,-3,-0.0291,company-logos/appsamurai.com/logo_200x200.jpeg
localytics.com,Localytics,Analytics: Product,52287,67,65,-2,-0.0299,company-logos/localytics.com/logo_200x200.jpeg
analytics.google.com,Google Analytics,Analytics: Product,52287,4098,3965,-133,-0.0325,company-logos/analytics.google.com/logo_200x200.jpeg
sendbird.com,Sendbird,Business Tools,52287,154,149,-5,-0.0325,company-logos/sendbird.com/logo_200x200.jpeg
teads.tv,Teads,Ad Networks,52287,132,127,-5,-0.0379,company-logos/teads.tv/logo_200x200.jpeg
integralads.com,Integral Ad Science,Business Tools,52287,26,25,-1,-0.0385,company-logos/integralads.com/logo_200x200.jpeg
hyprmx.com,HyperMX,Ad Networks,52287,832,796,-36,-0.0433,company-logos/hyprmx.com/logo_200x200.jpeg
comscore.com,Comscore,Business Tools,52287,621,594,-27,-0.0435,company-logos/comscore.com/logo_200x200.jpeg
x.com,Twitter X,Business Tools,52287,831,794,-37,-0.0445,company-logos/x.com/logo_200x200.jpeg
x.com,Twitter X,Ad Networks,52287,831,794,-37,-0.0445,company-logos/x.com/logo_200x200.jpeg
leanplum.com,LeanPlum,Analytics: Product,52287,86,82,-4,-0.0465,company-logos/leanplum.com/logo_200x200.jpeg
appnext.com,Appnext,Ad Networks,52287,186,177,-9,-0.0484,company-logos/appnext.com/logo_200x200.jpeg
rongcloud.com,RongCloud,Business Tools,52287,162,154,-8,-0.0494,
instabug.com,Instabug,Analytics: Product,52287,163,154,-9,-0.0552,company-logos/instabug.com/logo_200x200.jpeg
tapjoy.com,TapJoy,Ad Networks,52287,1074,1014,-60,-0.0559,company-logos/tapjoy.com/logo_200x200.jpeg
smartlook.com,Smartlook,Analytics: Product,52287,141,133,-8,-0.0567,company-logos/smartlook.com/logo_200x200.jpeg
apptimize.com,Apptimize,Business Tools,52287,34,32,-2,-0.0588,company-logos/apptimize.com/logo_200x200.jpeg
lexisnexis.com,LexisNexis ThreatMetrix,Analytics: Product,52287,148,139,-9,-0.0608,company-logos/lexisnexis.com/logo_200x200.jpeg
smartadserver.com,SmartAdServer,Ad Networks,52287,127,118,-9,-0.0709,company-logos/smartadserver.com/logo_200x200.jpeg
swrve.com,Swrve,Business Tools,52287,54,50,-4,-0.0741,company-logos/swrve.com/logo_200x200.jpeg
superawesome.tv,Super Awesome,Ad Networks,52287,229,211,-18,-0.0786,company-logos/superawesome.tv/logo_200x200.jpeg
mopub.com,Mopub,Ad Networks,52287,333,306,-27,-0.0811,company-logos/mopub.com/logo_200x200.jpeg
tapcart.com,Tapcart,Business Tools,52287,23,21,-2,-0.087,company-logos/tapcart.com/logo_200x200.jpeg
flurry.com,Flurry,Ad Networks,52287,532,478,-54,-0.1015,company-logos/flurry.com/logo_200x200.jpeg
adcolony.com,AdColony,Ad Networks,52287,1246,1115,-131,-0.1051,company-logos/adcolony.com/logo_200x200.jpeg
playgap.io,Playgap,Ad Networks,52287,37,33,-4,-0.1081,company-logos/playgap.io/logo_200x200.jpeg
tongdun.cn,TongDun,Business Tools,52287,29,25,-4,-0.1379,
criteo.com,Criteo,Ad Networks,52287,257,221,-36,-0.1401,company-logos/criteo.com/logo_200x200.jpeg
linkvertise.com,Linkvertise,Ad Networks,52287,21,17,-4,-0.1905,company-logos/linkvertise.com/logo_200x200.jpeg
liftoff.io,LiftOff,Ad Networks,52287,25,20,-5,-0.2,company-logos/liftoff.io/logo_200x200.jpeg
voodoo.io,VOODOO,Ad Networks,52287,91,72,-19,-0.2088,company-logos/voodoo.io/logo_200x200.jpeg
